district,date,epi_week,reporting_year,suspected_cases,rdt_confirmations
Itezhi-tezhi,2022-01-01,1,2022,0,39
Itezhi-tezhi,2023-01-01,1,2023,0,108
Itezhi-tezhi,2024-01-01,1,2024,0,56
Itezhi-tezhi,2025-01-01,1,2025,0,20
Kabompo,2021-01-01,1,2021,0,1012
Kabompo,2022-01-01,1,2022,0,1326
Kabompo,2023-01-01,1,2023,0,1154
Kabompo,2024-01-01,1,2024,0,773
Kabompo,2025-01-01,1,2025,0,1025
Kabwe,2021-01-01,1,2021,0,143
Kabwe,2022-01-01,1,2022,0,78
Kabwe,2023-01-01,1,2023,0,92
Kabwe,2024-01-01,1,2024,0,59
Kabwe,2025-01-01,1,2025,0,97
Kafue,2021-01-01,1,2021,0,59
Kafue,2022-01-01,1,2022,0,27
Kafue,2023-01-01,1,2023,0,27
Kafue,2024-01-01,1,2024,0,20
Kafue,2025-01-01,1,2025,0,29
Kalabo,2021-01-01,1,2021,0,904
Kalabo,2022-01-01,1,2022,0,824
Kalabo,2023-01-01,1,2023,0,1057
Kalabo,2024-01-01,1,2024,0,617
Kalabo,2025-01-01,1,2025,0,744
Kalomo,2021-01-01,1,2021,0,10
Kalomo,2022-01-01,1,2022,0,4
Kalomo,2023-01-01,1,2023,0,8
Kalomo,2024-01-01,1,2024,0,5
Kalomo,2025-01-01,1,2025,0,10
Kalulushi,2021-01-01,1,2021,0,493
Kalulushi,2022-01-01,1,2022,0,367
Kalulushi,2023-01-01,1,2023,0,573
Kalulushi,2024-01-01,1,2024,0,469
Kalulushi,2025-01-01,1,2025,0,365
Kalumbila,2021-01-01,1,2021,0,1040
Kalumbila,2022-01-01,1,2022,0,1089
Kalumbila,2023-01-01,1,2023,0,1301
Kalumbila,2024-01-01,1,2024,0,864
Kalumbila,2025-01-01,1,2025,0,978
Kanchibiya,2021-01-01,1,2021,0,360
Kanchibiya,2022-01-01,1,2022,0,527
Kanchibiya,2023-01-01,1,2023,0,652
Kanchibiya,2024-01-01,1,2024,0,424
Kanchibiya,2025-01-01,1,2025,0,424
Kaoma,2021-01-01,1,2021,0,1083
Kaoma,2022-01-01,1,2022,0,1112
Kaoma,2023-01-01,1,2023,0,1115
Kaoma,2024-01-01,1,2024,0,665
Kaoma,2025-01-01,1,2025,0,1176
Kapiri Mposhi,2021-01-01,1,2021,0,383
Kapiri Mposhi,2022-01-01,1,2022,0,306
Kapiri Mposhi,2023-01-01,1,2023,0,382
Kapiri Mposhi,2024-01-01,1,2024,0,263
Kapiri Mposhi,2025-01-01,1,2025,0,336
Kaputa,2021-01-01,1,2021,0,502
Kaputa,2022-01-01,1,2022,0,456
Kaputa,2023-01-01,1,2023,0,438
Kaputa,2024-01-01,1,2024,0,220
Kaputa,2025-01-01,1,2025,0,299
Kasama,2021-01-01,1,2021,0,450
Kasama,2022-01-01,1,2022,0,439
Kasama,2023-01-01,1,2023,0,553
Kasama,2024-01-01,1,2024,0,478
Kasama,2025-01-01,1,2025,0,542
Kasempa,2021-01-01,1,2021,0,1057
Kasempa,2022-01-01,1,2022,0,1372
Kasempa,2023-01-01,1,2023,0,1804
Kasempa,2024-01-01,1,2024,0,1431
Kasempa,2025-01-01,1,2025,0,1577
Kasenengwa,2021-01-01,1,2021,0,268
Kasenengwa,2022-01-01,1,2022,0,53
Kasenengwa,2023-01-01,1,2023,0,104
Kasenengwa,2024-01-01,1,2024,0,120
Kasenengwa,2025-01-01,1,2025,0,225
Katete,2021-01-01,1,2021,0,81
Katete,2022-01-01,1,2022,0,44
Katete,2023-01-01,1,2023,0,79
Katete,2024-01-01,1,2024,0,63
Katete,2025-01-01,1,2025,0,97
Kawambwa,2021-01-01,1,2021,0,536
Kawambwa,2022-01-01,1,2022,0,550
Kawambwa,2023-01-01,1,2023,0,694
Kawambwa,2024-01-01,1,2024,0,510
Kawambwa,2025-01-01,1,2025,0,438
Kazungula,2021-01-01,1,2021,0,20
Kazungula,2022-01-01,1,2022,0,13
Kazungula,2023-01-01,1,2023,0,17
